split_id,model_name,train_years,test_years,year,證券代碼,簡稱,actual_label,predicted_label,score_label_1,actual_return,rank,top_k,weight_method,weight,actual_return_decimal,return_contribution,portfolio_gross_return,portfolio_net_return,transaction_cost
0,random_forest,historical_refit_before_2010,2010,2010,1101,台泥,1,1,0.7680393772893777,11.3509,1,10,equal,0.1,0.113509,0.0113509,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2312,金寶,-1,1,0.7422653679653678,-40.7326,2,10,equal,0.1,-0.40732599999999997,-0.0407326,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,1907,永豐餘,1,1,0.7422119047619046,-13.995,3,10,equal,0.1,-0.13995,-0.013995,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2356,英業達,-1,1,0.7411153679653679,-27.8124,4,10,equal,0.1,-0.278124,-0.0278124,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2104,國際中橡,1,1,0.7374364357864356,0.0567,5,10,equal,0.1,0.000567,5.67e-05,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,1210,大成,1,1,0.7318412698412695,-4.0422,6,10,equal,0.1,-0.040422,-0.0040422,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2023,燁輝,1,1,0.7282224664224666,-4.3838,7,10,equal,0.1,-0.043838,-0.0043838,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2449,京元電子,-1,1,0.7260446886446886,-26.6399,8,10,equal,0.1,-0.266399,-0.0266399,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2377,微星,1,1,0.7227150793650794,-21.1291,9,10,equal,0.1,-0.211291,-0.0211291,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2010,2010,2010,2441,超豐,1,1,0.7117539238539239,-13.138,10,10,equal,0.1,-0.13138,-0.013138,-0.14046540000000002,-0.1442634,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,1907,永豐餘,1,1,0.7816261904761902,24.1242,1,10,equal,0.1,0.24124199999999998,0.0241242,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,2104,國際中橡,1,1,0.7663182539682539,21.0171,2,10,equal,0.1,0.210171,0.0210171,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,2313,華通,1,1,0.7529999999999997,40.0512,3,10,equal,0.1,0.40051200000000003,0.04005120000000001,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,2023,燁輝,-1,1,0.7427976190476188,0.7414,4,10,equal,0.1,0.007414,0.0007414,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,1229,聯華,1,1,0.7412698412698414,13.8778,5,10,equal,0.1,0.138778,0.013877800000000003,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,1312,國喬,1,1,0.7382103174603172,24.258,6,10,equal,0.1,0.24258,0.024258000000000002,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,8131,福懋科,-1,1,0.7362867521367518,-20.2339,7,10,equal,0.1,-0.202339,-0.0202339,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,1904,正隆,1,1,0.7357579365079364,18.1173,8,10,equal,0.1,0.181173,0.0181173,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,2489,瑞軒,1,1,0.7357002164502163,56.0854,9,10,equal,0.1,0.560854,0.0560854,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2011,2011,2011,3380,明泰,-1,1,0.7346121212121213,-3.8957,10,10,equal,0.1,-0.038957,-0.0038957,0.17414280000000001,0.17034480000000002,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,2356,英業達,1,1,0.7792764346764346,145.8975,1,10,equal,0.1,1.4589750000000001,0.1458975,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,2324,仁寶,1,1,0.7780349206349207,23.0094,2,10,equal,0.1,0.230094,0.0230094,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,2104,國際中橡,-1,1,0.7634261904761902,-7.5858,3,10,equal,0.1,-0.075858,-0.0075858,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,1904,正隆,1,1,0.7614158730158725,22.0937,4,10,equal,0.1,0.220937,0.0220937,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,3231,緯創,-1,1,0.7365396825396825,-7.967,5,10,equal,0.1,-0.07966999999999999,-0.007967,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,1229,聯華,-1,1,0.7363341269841268,7.7308,6,10,equal,0.1,0.077308,0.0077308,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,1605,華新,-1,1,0.7327079365079363,-3.6296,7,10,equal,0.1,-0.036296,-0.0036296,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,2377,微星,1,1,0.7313500721500722,84.7345,8,10,equal,0.1,0.847345,0.0847345,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,2441,超豐,1,1,0.730249161949162,20.4696,9,10,equal,0.1,0.204696,0.0204696,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2012,2012,2012,1907,永豐餘,-1,1,0.7265357142857137,9.1129,10,10,equal,0.1,0.091129,0.0091129,0.29386599999999996,0.29006799999999994,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,3231,緯創,1,1,0.7621960317460319,24.1844,1,10,equal,0.1,0.241844,0.0241844,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,1605,華新,-1,1,0.7482567099567101,4.1844,2,10,equal,0.1,0.041844,0.0041844000000000004,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,2352,佳世達,1,1,0.7426379509379509,98.4993,3,10,equal,0.1,0.984993,0.09849930000000001,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,2324,仁寶,-1,1,0.740310606060606,0.7919,4,10,equal,0.1,0.007919,0.0007919000000000001,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,2409,友達,1,1,0.7368089743589739,72.0047,5,10,equal,0.1,0.720047,0.0720047,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,1210,大成,1,1,0.7365777777777777,39.2076,6,10,equal,0.1,0.392076,0.0392076,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,2104,國際中橡,1,1,0.7351111111111108,21.6923,7,10,equal,0.1,0.216923,0.0216923,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,1409,新纖,-1,1,0.7341956709956706,7.6813,8,10,equal,0.1,0.076813,0.007681300000000001,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,2023,燁輝,-1,1,0.7281222222222222,-1.7781,9,10,equal,0.1,-0.017781,-0.0017781000000000003,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2013,2013,2013,1904,正隆,-1,1,0.7203860028860029,-5.3717,10,10,equal,0.1,-0.053716999999999994,-0.0053717,0.26109610000000005,0.25729810000000003,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,2324,仁寶,1,1,0.7616724664224662,-10.0346,1,10,equal,0.1,-0.10034599999999999,-0.0100346,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,2023,燁輝,-1,1,0.7323611111111109,-14.2659,2,10,equal,0.1,-0.142659,-0.014265900000000001,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,3481,群創,-1,1,0.7260200854700856,-32.2156,3,10,equal,0.1,-0.322156,-0.032215600000000004,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,1409,新纖,1,1,0.7208321789321785,-7.4684,4,10,equal,0.1,-0.074684,-0.0074684,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,1907,永豐餘,-1,1,0.7169786435786438,-18.9773,5,10,equal,0.1,-0.189773,-0.018977300000000003,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,1605,華新,-1,1,0.707304834054834,-26.3053,6,10,equal,0.1,-0.263053,-0.0263053,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,1101,台泥,-1,1,0.7051708791208792,-32.9034,7,10,equal,0.1,-0.329034,-0.0329034,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,2352,佳世達,-1,1,0.7028793650793649,-20.5418,8,10,equal,0.1,-0.205418,-0.0205418,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,2303,聯電,-1,1,0.6998166666666669,-14.2547,9,10,equal,0.1,-0.142547,-0.014254700000000002,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2014,2014,2014,1229,聯華,1,1,0.6972200355200358,3.8125,10,10,equal,0.1,0.038125,0.0038125,-0.17315450000000002,-0.1769525,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2324,仁寶,-1,1,0.7744650793650795,5.6862,1,10,equal,0.1,0.056862,0.005686200000000001,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2303,聯電,-1,1,0.7582478632478632,-1.5089,2,10,equal,0.1,-0.015088999999999998,-0.0015088999999999999,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,3231,緯創,1,1,0.754774675324675,45.3477,3,10,equal,0.1,0.453477,0.045347700000000005,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2006,東和鋼鐵,1,1,0.7483696969696967,31.6718,4,10,equal,0.1,0.316718,0.0316718,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2409,友達,1,1,0.747280952380952,25.1679,5,10,equal,0.1,0.251679,0.0251679,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,3481,群創,1,1,0.7432039682539682,18.9016,6,10,equal,0.1,0.189016,0.0189016,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2352,佳世達,1,1,0.7301565656565657,44.0163,7,10,equal,0.1,0.440163,0.04401630000000001,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,2353,宏碁,1,1,0.7288785714285714,11.8851,8,10,equal,0.1,0.118851,0.011885100000000001,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,3706,神達,1,1,0.7265944444444444,36.4257,9,10,equal,0.1,0.364257,0.0364257,0.24424189999999998,0.2404439,0.003798
0,random_forest,historical_refit_before_2015,2015,2015,1304,台聚,1,1,0.7253841269841266,26.6485,10,10,equal,0.1,0.26648499999999997,0.0266485,0.24424189999999998,0.2404439,0.003798
