section,item,value,note
dataset,total_rows,1156.0,
dataset,n_unique_stocks,119.0,
dataset,n_years,10.0,
data_integrity,duplicate_stock_year_count,0.0,Should be 0.
data_integrity,return_less_than_minus_100_count,0.0,Return should generally be >= -100.
rows_by_year,2015,112.0,
rows_by_year,2016,112.0,
rows_by_year,2017,113.0,
rows_by_year,2018,114.0,
rows_by_year,2019,115.0,
rows_by_year,2020,117.0,
rows_by_year,2021,118.0,
rows_by_year,2022,118.0,
rows_by_year,2023,118.0,
rows_by_year,2024,119.0,
label_distribution_by_year,"year=2015, label=-1",70.0,
label_distribution_by_year,"year=2015, label=1",42.0,
label_distribution_by_year,"year=2016, label=-1",86.0,
label_distribution_by_year,"year=2016, label=1",26.0,
label_distribution_by_year,"year=2017, label=-1",60.0,
label_distribution_by_year,"year=2017, label=1",53.0,
label_distribution_by_year,"year=2018, label=-1",73.0,
label_distribution_by_year,"year=2018, label=1",41.0,
label_distribution_by_year,"year=2019, label=-1",76.0,
label_distribution_by_year,"year=2019, label=1",39.0,
label_distribution_by_year,"year=2020, label=-1",79.0,
label_distribution_by_year,"year=2020, label=1",38.0,
label_distribution_by_year,"year=2021, label=-1",57.0,
label_distribution_by_year,"year=2021, label=1",61.0,
label_distribution_by_year,"year=2022, label=-1",84.0,
label_distribution_by_year,"year=2022, label=1",34.0,
label_distribution_by_year,"year=2023, label=-1",73.0,
label_distribution_by_year,"year=2023, label=1",45.0,
label_distribution_by_year,"year=2024, label=-1",80.0,
label_distribution_by_year,"year=2024, label=1",39.0,
return_summary_by_year,"year=2015, mean",14.373246459534768,
return_summary_by_year,"year=2015, std",45.02984150775082,
return_summary_by_year,"year=2015, min",-37.2443487621098,
return_summary_by_year,"year=2015, max",379.84886649874056,
return_summary_by_year,"year=2016, mean",30.29739787387959,
return_summary_by_year,"year=2016, std",66.04842090308061,
return_summary_by_year,"year=2016, min",-26.29441624365483,
return_summary_by_year,"year=2016, max",421.8855218855219,
return_summary_by_year,"year=2017, mean",-0.12179690975497365,
return_summary_by_year,"year=2017, std",27.189360871515955,
return_summary_by_year,"year=2017, min",-49.8876404494382,
return_summary_by_year,"year=2017, max",193.05618510716647,
return_summary_by_year,"year=2018, mean",23.106166973830327,
return_summary_by_year,"year=2018, std",37.95387436280581,
return_summary_by_year,"year=2018, min",-38.84297520661157,
return_summary_by_year,"year=2018, max",158.34363411619282,
return_summary_by_year,"year=2019, mean",28.711624748265418,
return_summary_by_year,"year=2019, std",53.32181938240449,
return_summary_by_year,"year=2019, min",-25.91362126245847,
return_summary_by_year,"year=2019, max",260.0823158321402,
return_summary_by_year,"year=2020, mean",44.33873244270404,
return_summary_by_year,"year=2020, std",92.56861610791545,
return_summary_by_year,"year=2020, min",-40.20926756352765,
return_summary_by_year,"year=2020, max",781.2260536398467,
return_summary_by_year,"year=2021, mean",-8.382646532884705,
return_summary_by_year,"year=2021, std",26.179232241346618,
return_summary_by_year,"year=2021, min",-89.36627282491945,
return_summary_by_year,"year=2021, max",124.10147991543342,
return_summary_by_year,"year=2022, mean",39.896929524964186,
return_summary_by_year,"year=2022, std",79.57904398374453,
return_summary_by_year,"year=2022, min",-35.39176626826029,
return_summary_by_year,"year=2022, max",581.8181818181819,
return_summary_by_year,"year=2023, mean",15.78207794671376,
return_summary_by_year,"year=2023, std",42.87491916052604,
return_summary_by_year,"year=2023, min",-55.156037991858895,
return_summary_by_year,"year=2023, max",141.54411764705884,
return_summary_by_year,"year=2024, mean",25.25063144170423,
return_summary_by_year,"year=2024, std",65.78628885086455,
return_summary_by_year,"year=2024, min",-55.96153846153846,
return_summary_by_year,"year=2024, max",352.3449319213313,
feature_missing_ratio,市值(百萬元),0.052768166089965395,
feature_missing_ratio,收盤價(元)_年,0.0,
feature_missing_ratio,Unknown masked parameter,0.0657439446366782,
feature_missing_ratio,股價淨值比,0.0657439446366782,
feature_missing_ratio,股價營收比,0.078719723183391,
feature_missing_ratio,淨值報酬率─稅後,0.17906574394463667,
feature_missing_ratio,資產報酬率 ROA,0.05709342560553633,
feature_missing_ratio,營業利益率 OPM,0.18858131487889274,
feature_missing_ratio,利潤邊際 NPM,0.07785467128027682,
feature_missing_ratio,負債/淨值比,0.17474048442906576,
feature_missing_ratio,流動比率,1.0,
feature_missing_ratio,速動比率,1.0,
feature_missing_ratio,存貨週轉率 (次),1.0,
feature_missing_ratio,應收帳款週轉次,1.0,
feature_missing_ratio,營業利益成長率,0.14878892733564014,
feature_missing_ratio,稅後淨利成長率,0.20674740484429066,
crawler_success_rate,finmind:balance_sheet,0.9333333333333333,
crawler_success_rate,finmind:financial_statement,0.9416666666666667,
crawler_success_rate,finmind:month_revenue,0.9416666666666667,
crawler_success_rate,finmind:per_pbr,0.9416666666666667,
crawler_success_rate,finmind:price,0.9583333333333334,
crawler_success_rate,yfinance_fallback:price,0.8,
